id,title,aggregation_type,subtype,cited_by_cnt,publication_name,publisher,volume,coverDate,surname,given_name,affiliation
SCOPUS_ID:85189023297,Pathways of inhibition of filamentous sludge bulking by slowly biodegradable organic compounds,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Gao,Chundi,"['affilname', 'affiliation-city', 'affiliation-country']"
SCOPUS_ID:85188992613,Application of new tetra-cationic imidazolium ionic liquids for capture and conversion of CO2 to amphiphilic calcium carbonate nanoparticles as a green additive in water based drilling fluids,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Atta,Ayman M.,"[{'affilname': 'Petrochemicals Department', 'affiliation-city': 'Cairo', 'affiliation-country': 'Egypt'}, {'affilname': 'Petroleum Applications Department', 'affiliation-city': 'Cairo', 'affiliation-country': 'Egypt'}]"
SCOPUS_ID:85188940224,Photochemical properties and toxicity of fluoroquinolone antibiotics impacted by complexation with metal ions in different pH solutions,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Cao,Shengkai,"[{'affilname': 'Lancaster Environment Centre', 'affiliation-city': 'Lancaster', 'affiliation-country': 'United Kingdom'}, {'affilname': 'Shaanxi University of Science and Technology', 'affiliation-city': 'Xinyang', 'affiliation-country': 'China'}, {'affilname': 'North China Electric Power University', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]"
SCOPUS_ID:85188718228,Degradation of bisphenol F by peroxymonosulfate activated with palladium-based catalysts,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Zhou,Xiaomei,"[{'affilname': 'Nanjing University', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}, {'affilname': 'Nankai University', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}]"
SCOPUS_ID:85188672723,Construction of bismuth based MOF for efficient removal of sodium diclofenac via adsorption and photocatalysis,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,He,Xiaohui,"[{'affilname': 'Dalian University', 'affiliation-city': 'Dalian', 'affiliation-country': 'China'}, {'affilname': 'Nankai University', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}, {'affilname': 'Bohai University', 'affiliation-city': 'Jinzhou', 'affiliation-country': 'China'}]"
SCOPUS_ID:85188630376,Denitrification enhanced by composite carbon sources in AAO- biofilter: Efficiency and metagenomics research,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Guo,Fan,"['affilname', 'affiliation-city', 'affiliation-country']"
SCOPUS_ID:85188592869,Combination of electrochemical advanced oxidation and biotreatment for wastewater treatment and soil remediation,Journal,Review,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Zeng,Wenqing,"['affilname', 'affiliation-city', 'affiliation-country']"
SCOPUS_ID:85188505019,Amino-modified IONPs potentiates ferroptotic cell death due to the release of Fe ion in the lysosome,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Qi,Zijuan,"[{'affilname': 'Shandong First Medical University &amp; Shandong Academy of Medical Sciences', 'affiliation-city': 'Jinan', 'affiliation-country': 'China'}, {'affilname': 'Shenzhen Institute of Advanced Technology', 'affiliation-city': 'Shenzhen', 'affiliation-country': 'China'}, {'affilname': 'University of Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Research Center for Eco-Environmental Sciences Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Guangxi Medical University', 'affiliation-city': 'Nanning', 'affiliation-country': 'China'}]"
SCOPUS_ID:85182659898,Seasonal changes of chemodiversity along with microbial succession in a municipal wastewater treatment plant,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Cui,Yunwei,"[{'affilname': 'Research Center for Eco-Environmental Sciences Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Guangxi University', 'affiliation-city': 'Nanning', 'affiliation-country': 'China'}, {'affilname': 'University of Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Ltd.', 'affiliation-city': 'Nanning', 'affiliation-country': 'China'}]"
SCOPUS_ID:85187534658,Lipwall Effects on a Shore-Front Oscillating Water Column Based on DBEM and Computational Fluid Dynamic Approaches,Journal,Article,0,Journal of Offshore Mechanics and Arctic Engineering,American Society of Mechanical Engineers (ASME),147,2025-03-11,Narendran,Kumar,"['affilname', 'affiliation-city', 'affiliation-country']"
