original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,district,street,name,county_code,suburb,state_code,postcode,city,county,state,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
4154,Aarhus N,Denmark,56.2309233,10.1239891,"Aarhus N, Nordjyske Motorvej, 8380 Aarhus, Denmark",,Nordjyske Motorvej,Aarhus N,,,,8380,Aarhus,,Central Denmark Region,Denmark,dk,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4155,Kakinada,India,16.9437385,82.2350607,"Kakinada - 533001, AP, India",,,Kakinada,,,AP,533001,Kakinada,Kakinada (Urban),Andhra Pradesh,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4156,Zilina,Slovakia,49.2234674,18.7393139,"Žilina, Slovakia",,,,,,,,Žilina,District of Žilina,Region of Žilina,Slovakia,sk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4157,Ramnicu Valcea,Romania,45.1031731,24.3647209,"Râmnicu Vâlcea, Romania",,,,,,,,Râmnicu Vâlcea,Vâlcea,,Romania,ro,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4158,Sha-Lu,Taiwan,24.2371296,120.5573677,"Shalu, Zhongzheng Street, Shalu District, Taichung 43350, Taiwan",Shalu Village,Zhongzheng Street,Shalu,,Shalu District,,43350,Taichung,,,Taiwan,tw,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4159,Attock,Pakistan,33.7695323,72.3610911,"Attock 43600, Pakistan",,,Attock,,,PB,43600,Attock,Attock District,Punjab,Pakistan,pk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4160,Fullerton,United States,33.8708215,-117.929416,"Fullerton, CA, United States of America",,,,,,CA,,Fullerton,Orange County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4161,Chermside,Australia,-27.384991,153.03332196196595,"Chermside, Brisbane City, QLD, Australia",Chermside,,,,,QLD,4032,Brisbane City,,Queensland,Australia,au,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4162,Halden,Norway,59.0680555,11.537191002239753,"Halden, Norway",,,,,,,,Halden,Østfold,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4163,Skedsmokorset,Norway,60.0045847,11.0327923,"2020 Skedsmokorset (Skedsmokorset), Norway",,,Skedsmokorset,,,,2020,Skedsmokorset,Akershus,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4164,San Miniato,Italy,43.6797502,10.8500949,"San Miniato, Tuscany, Italy",,,,PI,,,,San Miniato,Pisa,Tuscany,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4165,"Niguarda, Milano",Italy,45.5155078,9.1942367,"Niguarda, Milan, Lombardy, Italy",,,Niguarda,,Niguarda,,20162,Milan,Milan,Lombardy,Italy,it,0.5,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4166,Bruderholz,Switzerland,47.5307985,7.5916242,"Bruderholz, Basel, Basel-City, Switzerland",,,,,Bruderholz,,4059,Basel,,Basel-City,Switzerland,ch,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4167,Forchheim,Germany,49.7187319,11.0595749,"91301 Forchheim, Germany",,,,,,,91301,Forchheim,Landkreis Forchheim,Bavaria,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4168,Slagelse,Denmark,55.4061196,11.3525415,"4200 Slagelse, Denmark",,,Slagelse,,,,4200,Slagelse,,Region Zealand,Denmark,dk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4169,Chittorgarh,India,24.8837157,74.6244155,"Chittorgarh - 312001, RJ, India",,,Chittorgarh,,,RJ,312001,Chittorgarh,Chittaurgarh Tehsil,Rajasthan,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4170,Katsina,Nigeria,10.4599,12.163,"Bwala, Marama Kidang, Borno State, Nigeria",,,Bwala,,,,,Marama Kidang,Hawul,Borno State,Nigeria,ng,0.25,0.25,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4171,Zhucheng,China,24.2710762,110.6756437,"Zhucheng (Zhucheng), Guangxi, China",,,Zhucheng,,,,,Zhucheng,Zhaoping County,Guangxi,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4172,Namhae,South Korea,34.838547,127.8936556,"Namhae-eup, 52420, South Korea",,,,,,,52420,Namhae-eup,Namhae-gun,,South Korea,kr,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4173,Aizawl,India,23.7433532,92.7382756,"Aizawl - 796190, MZ, India",,,Aizawl,,,MZ,796190,Aizawl,Tlangnuam,Mizoram,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4174,Pawtucket,United States,41.8789531,-71.3821203,"Pawtucket, RI, United States of America",,,,,,RI,,Pawtucket,Providence County,Rhode Island,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4175,Saveh,Iran,35.0196331,50.3652364,"Central District of Saveh County, Saveh, Markazi Province, Iran",Central District of Saveh County,,,,,,,Saveh,Saveh County,Markazi Province,Iran,ir,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
