original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,name,street,suburb,district,postcode,city,county_code,state,state_code,county,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
3637,Shaoxing,China,29.9992425,120.576854,"Shaoxing, Zhejiang, China",,,,,,Shaoxing,,Zhejiang,,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3638,Tando Jam,Pakistan,25.4245266,68.5296162,"Tando Jam, SD, Pakistan",Tando Jam,,,,,Tando Jam,,Sindh,SD,Hyderabad District,Pakistan,pk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3639,Bhimavaram,India,16.5427689,81.527344,"Bhimavaram - 534200, AP, India",Bhimavaram,,,,534200,Bhimavaram,,Andhra Pradesh,AP,Bhimavaram,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3640,Nellore,India,14.4493717,79.9873763,"Nellore - 524001, AP, India",Nellore,,,,524001,Nellore,,Andhra Pradesh,AP,Nellore,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3641,"Medchal, Hyderabad",India,17.632256,78.483978,"Medchal, TG, India",,,,,,Medchal,,Telangana,TG,Rangareddi,India,in,0.5,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
3642,Neyagawa,Japan,34.76751,135.633907,"Neyagawa, Osaka Prefecture, Japan",,,,,,Neyagawa,,Osaka Prefecture,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3643,Patancheru,India,17.5286092,78.2674254,"Patancheru, Hyderabad, TG, India",Patancheru,,Patancheru,Greater Hyderabad Municipal Corporation West Zone,502319,Hyderabad,,Telangana,TG,Patancheruvu mandal,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3644,Oromia,Ethiopia,7.6721644,40.0299727,"Oromia Region, Ethiopia",,,,,,,,Oromia Region,,,Ethiopia,et,0.45,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3645,Weinan,China,34.6806136,105.655699,"Maiji District, Weinan, Gansu, China",,,,Maiji District,,Weinan,,Gansu,,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3646,Jalandhar,India,31.3323762,75.576889,"Jalandhar - 144001, PB, India",Jalandhar,,,,144001,Jalandhar,,Punjab,PB,Jalandhar I Tahsil,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3647,Batman,Turkey,39.0934115,39.5724037,"62000 Batman (Batman), Turkey",Batman,,,,62000,Batman,,Eastern Anatolia Region,,Tunceli Merkez,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3648,Winter Park,United States,28.5977707,-81.3510264,"Winter Park, Winter Park, FL, United States of America",,,Winter Park,,,Winter Park,,Florida,FL,Orange County,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3649,Land O’ Lakes,United States,28.2188992,-82.4575938,"Land O' Lakes, FL 34639, United States of America",Land O' Lakes,,,,34639,Land O' Lakes,,Florida,FL,Pasco County,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3650,El Oued Province,Algeria,33.370749,6.866884,"El Oued, Algeria",,,,,,El Oued,,El Oued,,,Algeria,dz,0.9,0.9,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
3651,Biskra,Algeria,34.8508816,5.729074,"Biskra, Algeria",,,,,,Biskra,,Biskra,,Biskra District,Algeria,dz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3652,Saida,Algeria,34.8302067,0.1502692,"Saïda, Algeria",,,,,,Saïda,,Saïda,,Saïda District,Algeria,dz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3653,Sidi Bel Abbes,Algeria,35.1907399,-0.6341153,"Sidi Bel Abbès, Algeria",,,,,,Sidi Bel Abbès,,Sidi Bel Abbès,,Sidi Bel Abbès District,Algeria,dz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3654,Ain Temouchent,Algeria,35.3048421,-1.1457771,"46000 Ain Temouchent, Algeria",,,,,46000,Ain Temouchent,,Aïn Témouchent,,Ain Temouchent District,Algeria,dz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3655,Arras,France,50.291048,2.7772211,"62000 Arras, France",,,,,62000,Arras,,Hauts-de-France,HDF,Pas-de-Calais,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3656,UmAl Quain,United Arab Emirates,15.64384,-88.65239,"Finca Umal, Puerto Barrios, Guatemala",Finca Umal,,,,,,,Izabal,IZ,Puerto Barrios,Guatemala,gt,0,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
3657,Tomigusuku,Japan,26.1772381,127.6863791,"Tomigusuku, 901-0292, Japan",,,,,901-0292,Tomigusuku,,,,Okinawa Prefecture,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3658,Villeneuve-d'Ascq,France,50.6193174,3.1314002,"Villeneuve-d'Ascq, HDF, France",,,,,,Villeneuve-d'Ascq,,Hauts-de-France,HDF,Nord,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3659,Bhiwani,India,28.7931703,76.1391283,"Bhiwani - 125021, HR, India",Bhiwani,,,,125021,Bhiwani,,Haryana,HR,Bhiwani,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3660,Broomfield,United States,39.9403995,-105.05208,"Broomfield, CO, United States of America",,,,,,Broomfield,,Colorado,CO,,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3661,Kabridahar,Ethiopia,,,,,,,,,,,,,,,,,,,,
3662,Khalkhal,Iran,37.6192217,48.5278144,"بخش مرکزی, KhalKhal, Ardabil Province, Iran",KhalKhal,,,بخش مرکزی,,KhalKhal,,Ardabil Province,,Kahlkhal County,Iran,ir,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3663,Chestertown,United States,39.2089986,-76.0666126,"Chestertown, MD 21620, United States of America",,,,,21620,Chestertown,,Maryland,MD,Kent County,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3664,Beer-Sheva,Israel,31.2457442,34.7925181,"Be’er-Sheva, South District, Israel",,,,,,Be’er-Sheva,,South District,,Beersheba Subdistrict,Israel,il,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3665,Annecy,France,45.8992348,6.1288847,"Annecy, ARA, France",,,,,,Annecy,,Auvergne-Rhône-Alpes,ARA,Upper Savoy,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3666,Ulundi,South Africa,-28.2919443,31.4294444,"Ulundi (Ulundi Local Municipality), 3838, South Africa",Ulundi,,,,3838,Ulundi Local Municipality,,KwaZulu-Natal,NL,Zululand District Municipality,South Africa,za,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3667,Western Cape,South Africa,-33.546977,20.72753,"Western Cape, South Africa",,,,,,,,Western Cape,WC,,South Africa,za,0.5,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3668,Multan,Pakistan,30.197838,71.4719683,"Multan 60700, Pakistan",Multan,,,,60700,Multan,,Punjab,PB,Multan District,Pakistan,pk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3669,Mostoles,Spain,40.3238525,-3.8649214,"Móstoles, Madrid, Spain",,,,,,Móstoles,,Community of Madrid,,,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3670,Coquitlam,Canada,49.2842958,-122.793281,"Coquitlam, BC, Canada",,,,,,Coquitlam,,British Columbia,BC,Metro Vancouver Regional District,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3671,Swarthmore,United States,39.9020565,-75.3499124,"Swarthmore (Swarthmore), PA 19081, United States of America",,,,,19081,Swarthmore,,Pennsylvania,PA,Delaware County,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3672,Baramati,India,18.1478834,74.5733979,"Baramati, MH, India",Baramati,,,,,Baramati,,Maharashtra,MH,Baramati,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3673,Jammu,India,32.7185614,74.8580917,"Jammu - 180001, JK, India",Jammu,,,,180001,Jammu,,Jammu and Kashmir,JK,Jammu,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3674,Freudpl,Austria,47.522617,14.143702,Austria,Austria,,,,,,,,,,Austria,at,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
3675,Selargius,Italy,39.2569504,9.1675535,"09047 Ceraxus/Selargius, Italy",,,,,09047,Ceraxus/Selargius,,Sardinia,,Casteddu/Cagliari,Italy,it,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3676,Neunkirchen,Austria,47.7221147,16.081602,"2620 Gemeinde Neunkirchen, Austria",,,,,2620,Gemeinde Neunkirchen,,Lower Austria,,Bezirk Neunkirchen,Austria,at,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3677,Nangrahar,Afghanistan,,,,,,,,,,,,,,,,,,,,
3678,Ambo,Ethiopia,8.982104,37.8554406,"Ambo, Oromia Region, Ethiopia",Ambo,,,,,Ambo,,Oromia Region,,Ambo Zuria,Ethiopia,et,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3679,Longowal,India,30.1942109,75.6798604,"Laungowal - 148106, PB, India",Laungowal,,,,148106,Laungowal,,Punjab,PB,Sangrur Tahsil,India,in,0.7000000000000001,0.7000000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
