original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,district,housenumber,name,street,county_code,postcode,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
476,Zigong,China,29.3419256,104.7761224,"Ziliujin District, Zigong, Sichuan, China",Ziliujin District,,Zigong,,,643000,,Zigong,,Sichuan,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
477,Wuhan,China,30.5951051,114.2999353,"Wuhan, Hubei, China",,,,,,,,Wuhan,,Hubei,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
478,New Taipei City,Taiwan,25.02679015,121.47107843163,"New Taipei City Council, 166 Section 2, Wenhua Road, Banqiao District, New Taipei 22044, Taiwan",Juguang Village,166,New Taipei City Council,"Section 2, Wenhua Road",,22044,Banqiao District,New Taipei,,,,Taiwan,tw,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
479,Ottawa,Canada,45.4208777,-75.6901106,"Ottawa, ON, Canada",,,,,,,,Ottawa,Eastern Ontario,Ontario,ON,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
480,Koln,Germany,50.928344,7.002998,"Köln (Cologne), North Rhine-Westphalia, Germany",Köln,,,,,,,Cologne,Köln,North Rhine-Westphalia,,Germany,de,1,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
481,Irkutsk,Russian Federation,52.2891225,104.279829,"Irkutsk, Irkutsk Oblast, Russia",,,Irkutsk,,,,,Irkutsk,городской округ Иркутск,Irkutsk Oblast,,Russia,ru,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
482,Leverkusen,Germany,51.0324743,6.9881194,"Leverkusen, North Rhine-Westphalia, Germany",,,,,,,,Leverkusen,,North Rhine-Westphalia,,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
483,Incheon,South Korea,37.456,126.7052,"Incheon, South Korea",,,,,,,,Incheon,,,,South Korea,kr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
484,Tianjin,China,39.1175488,117.1913008,"300050 Tianjin, China",,,Tianjin,,,300050,,Tianjin,Heping District,Tianjin,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
485,Bandar Sunway,Malaysia,2.86667,101.43333,"Bandar, Selangor, Malaysia",,,,,,,,Bandar,Kuala Langat,Selangor,,Malaysia,my,0.5,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
486,Greifswald,Germany,54.095791,13.3815238,"Greifswald, MV, Germany",,,,,,,,Greifswald,Vorpommern-Greifswald,Mecklenburg-Vorpommern,MV,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
487,Phnom Penh,Cambodia,11.568271,104.9224426,"Khan Daun Penh (Phnom Penh) 120203, Cambodia",,,Phnom Penh,,,120203,,Phnom Penh,,Phnom Penh,,Cambodia,kh,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
